name,original_price,selling_price_1,selling_price_2,location,star,selling_price
"Tai Nghe Bluetooth EP2 Cao Cấp Định Vị Đổi Tên Tai Nghe Không Dây Tự Động Kết Nối Chạm Cảm Ứng,Dùng Cho Các Máy Điện Th",299000,245000,0,Hà Nội,4.2,272000
"Tai Nghe Bluetooth M10 Pro, Tai Nghe Không Dây M10 Pro Phiên Bản Nâng Cấp Pin Trâu, Nút Cảm Ứng Tự Động Kết Nối",299000,185000,0,Hà Nội,4.3,242000
"Tai Nghe Bluetooth PRO- Không Dây Bản Cao Cấp Định Vị, Đổi Tên,Cảm Ứng Dùng Cho Tất Cả Các Máy Điện Thoại",355000,269000,0,Hà Nội,4.7,312000
Tai Nghe Bluetooth không dây AP3 Cảm Biến Đa Điểm Không Dây 5.0 Định Vị - Đổi Tên - Sạc Không Dây,0,293000,332000,Hà Nội,4.8,146500
Tai Nghe Bluetooth i12 - Bản Mới Nhất Không Dây Tự Động Kết Nối Đầy Đủ Tính Năng Âm Thanh Chuẩn,200000,129000,0,Hà Nội,4.1,164500
Tai Nghe Bluetooth Công Nghệ Mới Âm Thanh Sống Động Không Dây J12 Phiên Chuẩn Bản Quốc Tế J12_Mau -xanhrongnjnj,150000,125000,0,TP. Hồ Chí Minh,4.3,137500
"Tai nghe bluetooth HD2 - Tai nghe không dây Full Chức Năng, Đổi Tên, Định Vị, Pin Trâu dùng cho mọi dòng máy",330000,239000,0,Hà Nội,4.8,284500
"Tai Nghe Bluetooth PRO- Không Dây Bản Cao Cấp Định Vị, Đổi Tên,Cảm Ứng Dùng Cho Tất Cả Các Máy Điện Thoại",355000,269000,0,Hà Nội,4.2,312000
"Tai Nghe Bluetooth Không Dây AQ2 - Tai Nghe Không Dây Bản Cao Cấp Nhất, Nghe Gọi Cực Đỉnh, Có Mic, Đổi Tên-Định Vị .",329000,229000,0,Hà Nội,4.9,279000
Tai Nghe Bluetooth i12 TQS - Không Dây Cảm Ứng Cực Nhạy Đầy đủ Tính Năng Âm Thanh Chuẩn.,225000,129000,0,Hà Nội,4.5,177000
Tai Nghe Bluetooth i12 - Bản Mới Nhất Không Dây Tự Động Kết Nối Đầy Đủ Tính Năng Âm Thanh Chuẩn,200000,129000,0,Hà Nội,4.2,164500
Tai Nghe Bluetooth PRO Bản Cao Cấp Định Vị Đổi Tên Tai Nghe Không Dây Tự Động Kết Nối Dùng Cho IOS Và Android,390000,269000,0,Hà Nội,4.9,329500
Tai nghe Bluetooth không dây Pr0 đời mới Âm thanh hay- Cảm ứng - đổi tên cao cấp dùng cho các dòng điện thoại,370000,279000,0,Hà Nội,4.3,324500
Tai Nghe Bluetooth AP2 TWS Không Dây Bản Quốc Tế Định Vị Đổi Tên Tự Động Kết Nối Chạm Cảm Ứng Dùng Cho ĐT,400000,269000,0,Hà Nội,4.5,334500
"Tai Nghe Bluetooth PRO - Bản Cao Cấp Định Vị Đổi Tên Tai Nghe Không Dây,Cảm Ứng Dùng Cho Tất Cả Các Máy Điện Thoại",480000,269000,0,Hà Nội,4.5,374500
